trip_distance_km,time_of_day,day_of_week,traffic_conditions,weather,trip_duration_minutes,trip_price
19.35,Morning,Weekday,Low,Clear,53.82,36.2624
36.87,Evening,Weekend,High,Clear,37.27,52.9032
30.33,Evening,Weekday,Low,,116.81,36.4698
,Evening,Weekday,High,Clear,22.64,15.618000000000002
8.64,Afternoon,Weekend,Medium,Clear,89.33,60.2028
3.85,Afternoon,Weekday,High,Rain,5.05,11.2645
43.44,Evening,Weekend,,Clear,,101.1216
35.7,Afternoon,Weekday,Low,Rain,,75.5657
,Morning,Weekday,,Clear,26.34,14.892
41.79,Night,Weekend,High,Clear,86.95,88.13279999999999
11.4,Morning,Weekday,,Clear,84.12,36.118
9.91,Evening,Weekday,High,Clear,41.72,28.9914
9.99,Night,Weekday,High,Clear,34.0,27.4415
15.91,Morning,Weekday,Low,Clear,114.93,56.716
26.71,Afternoon,Weekend,Low,Rain,111.18,69.0049
22.17,Night,,Low,Clear,57.59,69.6268
15.27,Morning,,Low,Clear,,27.3543
30.98,Afternoon,Weekend,Low,Rain,57.02,44.7782
7.84,Morning,Weekday,Medium,,53.8,26.2988
105.94355003672597,Night,Weekend,Low,Rain,23.03,201.869509186128
18.95,Night,Weekday,Low,Clear,54.04,39.2366
23.35,Night,,Low,Rain,66.8,33.632000000000005
39.47,Afternoon,Weekday,Low,Clear,7.59,83.69649999999999
10.78,Evening,,High,Rain,56.07,28.2443
138.09832791310237,Evening,Weekend,Medium,Rain,94.86,280.87730155406564
30.03,,Weekday,High,Clear,83.21,64.7971
3.28,Evening,Weekday,Medium,Clear,78.04,24.260800000000003
30.77,Morning,Weekday,Low,Clear,109.6,58.8121
9.36,Afternoon,Weekday,Medium,Clear,7.07,20.7765
47.5,Morning,Weekend,Low,Clear,95.55,57.28
48.32,Morning,Weekday,Low,Clear,67.25,61.5552
40.61,Afternoon,Weekday,Low,Clear,42.25,54.1018
15.93,Afternoon,Weekday,Low,,20.67,35.016400000000004
5.79,Evening,Weekday,Low,Clear,107.07,40.9225
34.53,Morning,Weekday,Medium,Clear,59.14,60.0471
22.57,Afternoon,Weekday,Low,Clear,105.98,62.77850000000001
6.98,Afternoon,Weekend,Low,Clear,72.37,20.791
25.26,Evening,Weekday,High,Clear,82.53,57.0482
2.69,Afternoon,Weekday,Low,Clear,97.49,42.9921
45.56,Afternoon,Weekday,Low,Clear,80.8,85.88400000000001
13.68,Evening,Weekend,High,Clear,50.78,29.4758
33.46,Afternoon,Weekend,Low,Rain,64.07,30.9982
16.27,Morning,Weekday,Low,Clear,97.35,64.05529999999999
